Altium Designer Pick and Place Locations
C:\github\liquidmonolith\hardware\Coil_Driver_Rev_A\Project Outputs for Coil_Driver_Rev_A\Pick Place\Pick Place for Coil_Driver_Rev_A.csv

========================================================================================================================
File Design Information:

Date:       27/12/21
Time:       09:11
Revision:   4d8060dfa7f09c1b7c2a58ab8f934203d5b72d44
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"J7","17.2720mm","21.8453mm","TopLayer","270"
"U3","96.5200mm","33.2740mm","TopLayer","0"
"R78","100.7190mm","25.6688mm","TopLayer","270"
"R77","99.1950mm","25.6688mm","TopLayer","270"
"R76","97.6710mm","25.6688mm","TopLayer","270"
"R75","96.0200mm","25.6688mm","TopLayer","270"
"R74","94.4959mm","25.6688mm","TopLayer","270"
"R73","92.9720mm","25.6688mm","TopLayer","270"
"J6","100.6590mm","23.1127mm","TopLayer","90"
"J5","99.1100mm","23.1127mm","TopLayer","90"
"J4","97.5610mm","23.1127mm","TopLayer","90"
"J3","96.0120mm","23.1127mm","TopLayer","90"
"J2","94.4630mm","23.1127mm","TopLayer","90"
"J1","92.9720mm","23.1275mm","TopLayer","90"
"C16","101.8540mm","37.4650mm","TopLayer","0"
"U2","8.2042mm","23.4950mm","TopLayer","90"
"R72","2.1590mm","22.0980mm","TopLayer","0"
"R71","2.1431mm","25.3441mm","TopLayer","0"
"R70","38.9890mm","33.1470mm","TopLayer","180"
"R69","38.9890mm","35.5600mm","TopLayer","180"
"C15","7.1120mm","20.3200mm","TopLayer","0"
"C14","2.2860mm","20.7010mm","TopLayer","0"
"C13","2.1431mm","23.9471mm","TopLayer","180"
"C12","45.7200mm","19.6850mm","TopLayer","270"
"C11","15.4940mm","20.2580mm","TopLayer","270"
"CN18","31.1150mm","31.8770mm","TopLayer","0"
"U1","6.0960mm","30.6070mm","TopLayer","0"
"R68","87.1220mm","4.5720mm","TopLayer","90"
"R67","76.7080mm","4.4450mm","TopLayer","90"
"R66","66.9290mm","4.4450mm","TopLayer","90"
"R65","56.7690mm","4.4450mm","TopLayer","90"
"R64","81.4760mm","8.2550mm","TopLayer","180"
"R63","71.3740mm","8.1280mm","TopLayer","180"
"R62","61.4680mm","8.2550mm","TopLayer","180"
"R61","51.4350mm","8.2550mm","TopLayer","180"
"R60","85.8820mm","2.9210mm","TopLayer","0"
"R59","74.1680mm","2.4130mm","TopLayer","0"
"R58","65.4350mm","2.5400mm","TopLayer","0"
"R57","55.7830mm","2.7940mm","TopLayer","0"
"R56","80.7720mm","2.9210mm","TopLayer","180"
"R55","70.9930mm","2.4130mm","TopLayer","180"
"R54","60.4520mm","2.5400mm","TopLayer","180"
"R53","50.7310mm","3.0480mm","TopLayer","180"
"R52","86.9950mm","16.0020mm","TopLayer","90"
"R51","76.8350mm","16.2560mm","TopLayer","90"
"R50","66.6750mm","16.5100mm","TopLayer","90"
"R49","56.7690mm","16.5100mm","TopLayer","90"
"R48","81.6770mm","20.0138mm","TopLayer","180"
"R47","71.3900mm","20.2678mm","TopLayer","180"
"R46","61.0180mm","20.1930mm","TopLayer","180"
"R45","51.5620mm","20.1930mm","TopLayer","180"
"R44","85.8820mm","14.1718mm","TopLayer","0"
"R43","73.6600mm","14.4780mm","TopLayer","0"
"R42","65.4350mm","14.4780mm","TopLayer","0"
"R41","55.7830mm","14.8590mm","TopLayer","0"
"R40","81.1690mm","14.2988mm","TopLayer","180"
"R39","70.8820mm","14.4258mm","TopLayer","180"
"R38","60.7060mm","14.6050mm","TopLayer","180"
"R37","51.0540mm","14.8590mm","TopLayer","180"
"R36","5.0220mm","34.1630mm","TopLayer","180"
"R35","2.7940mm","35.0520mm","TopLayer","270"
"R34","5.0800mm","33.1470mm","TopLayer","0"
"R33","7.4930mm","33.1470mm","TopLayer","180"
"R32","87.1220mm","28.2630mm","TopLayer","90"
"R31","77.0890mm","28.4480mm","TopLayer","90"
"R30","67.1830mm","28.1250mm","TopLayer","90"
"R29","56.6420mm","28.0670mm","TopLayer","90"
"R28","80.8358mm","32.7660mm","TopLayer","180"
"R27","71.1200mm","32.5120mm","TopLayer","180"
"R26","60.3888mm","32.5120mm","TopLayer","180"
"R25","51.1810mm","32.7660mm","TopLayer","180"
"R24","85.8820mm","26.5430mm","TopLayer","0"
"R23","73.7870mm","26.5430mm","TopLayer","0"
"R22","65.4350mm","26.4160mm","TopLayer","0"
"R21","53.5940mm","26.0350mm","TopLayer","0"
"R20","80.9570mm","26.5430mm","TopLayer","180"
"R19","70.8660mm","26.5430mm","TopLayer","180"
"R18","60.5210mm","26.4160mm","TopLayer","180"
"R17","50.9270mm","26.0350mm","TopLayer","180"
"R16","87.1220mm","40.0050mm","TopLayer","90"
"R15","77.0890mm","39.8780mm","TopLayer","90"
"R14","66.5480mm","40.0740mm","TopLayer","90"
"R13","57.0230mm","40.3170mm","TopLayer","90"
"R12","81.7248mm","43.5610mm","TopLayer","180"
"R11","71.7550mm","43.6880mm","TopLayer","180"
